change,currency,market_cap,value,volume
6.93,Bitcoin,580606180969.0,30496.13,19038687.0
6.51,Ethereum,252398988858.0,2090.09,120759919.44
0.11,USD Coin,49901797805.0,1.0,49850000000.0
12.04,BNB,50053754889.0,306.56,163276974.63
0.84,Binance USD,17190232568.0,1.0,17180000000.0
17.66,Solana,17498728803.0,51.94,336930940.47
23.68,Cardano,19444086249.0,0.5749,33820000000.0
15.72,Dogecoin,12054259555.0,0.09086,132669999999.99998
16.97,XRP,21616353419.0,0.4471,48340000000.0
0.98,Tether,79373476473.0,0.9989,79460000000.0
34.22,Polkadot,10980974154.0,11.12,987579314.96
1.92,TRON,7091072525.0,0.07222,98180000000.0
6.73,Wrapped Bitcoin,8641133679.0,30404.65,284204.38
,Shiba Inu,7344572800.0,,549063280000000.0
0.18,Dai,6463657337.0,1.0,6460000000.0
22.96,Avalanche,9404661902.0,34.97,268931517.92
0.41,UNUS SED LEO,4917431287.0,5.15,953954130.0
67.22,TerraUSD,1849060058.0,0.1639,11280000000.0
23.15,Polygon,5624475337.0,0.7166,7850000000.0
11.85,Litecoin,4963398615.0,70.63,70274931.28
7.34,FTX Token,4347996906.0,31.84,136538847.82
10.06,Cronos,4943790414.0,0.1957,25260000000.0
18.18,NEAR Protocol,5044535512.0,7.39,682965885.0
16.2,Bitcoin Cash,4054384750.0,212.69,19062043.75
15.73,Stellar,3388178631.0,0.1366,24800000000.0
14.39,Uniswap,3589854015.0,5.2,275957514.0
11.36,Flow,3181629718.0,3.07,1040000000.0
15.85,Chainlink,3452300574.0,7.39,467009549.52
20.8,Algorand,3284356255.0,0.4822,6810000000.0
9.38,Monero,2717245035.0,149.95,18120503.62
17.65,Cosmos,3170965341.0,11.07,286370297.0
42.32,ApeCoin,2618551093.0,9.19,284843750.0
15.1,Ethereum Classic,2855653771.0,21.19,134742483.16
20.58,VeChain,2149505068.0,0.03342,64319999999.99999
25.34,Hedera,2155365321.0,0.1039,20740000000.0
6.79,Elrond,1940041728.0,88.48,21925723.43
7.83,Filecoin,1821214908.0,8.86,205465624.0
25.78,The Sandbox,1810381591.0,1.47,1230000000.0
18.45,Internet Computer,1903079003.0,8.26,230457943.36
13.78,Tezos,1670043050.0,1.87,894459953.27
0.92,Axie Infinity,1371436744.0,22.52,60907500.0
11.32,EOS,1405469715.0,1.42,989337938.87
51.07,Decentraland,2022436136.0,1.1,1840000000.0
23.02,Theta Network,1486971737.0,1.49,1000000000.0
10.21,PancakeSwap,1337937670.0,4.52,211902666.0
29.56,Maker,1419490144.0,1451.97,374733903.0
31.1,Helium,1298695451.0,11.04,117616932.73
0.48,TrueUSD,1116880659.0,1.0,1120000000.0
26.98,Zcash,1385509287.0,96.4,14373193.75
16.14,Aave,1207429868.0,88.03,290642186.0
0.13,Huobi Token,1079003390.0,6.95,155225063.25
23.05,KuCoin Token,1260091717.0,12.81,98379860.95
22.6,THORChain,1184093078.0,3.58,222477398.0
10.16,Klaytn,1114051296.0,0.3954,2820000000.0
12.04,Bitcoin SV,1014427564.0,53.23,19057926.64
20.94,The Graph,1127980284.0,0.1635,6900000000.0
7.1,Waves,816293753.0,7.54,108251428.0
31.28,Quant,887684458.0,73.53,12072738.0
18.8,IOTA,941404957.0,0.3387,2780000000.0
,BitTorrent-New,1074266919.0,,929275160000000.0
0.22,Pax Dollar,948221696.0,1.0,945642940.11
60.98,STEPN,992303162.0,1.65,600000000.0
21.71,Neutrino USD,866314888.0,0.9477,914097635.6
45.75,Fantom,990816873.0,0.3893,2550000000.0
5.3,Celo,732034912.0,1.67,439191694.0
6.92,Convex Finance,829527691.0,13.57,20717483.0
13.9,Neo,776831206.0,11.01,70538831.0
11.5,OKB,754655728.0,12.58,60000000.0
14.47,Stacks,754402537.0,0.5744,1310000000.0
,eCash,887955487.0,,19057620000000.0
17.1,Chiliz,697567105.0,0.1163,6000000000.0
6.25,Gnosis,600955901.0,232.97,8816858.0
15.87,Curve DAO Token,694905339.0,1.51,237299880.0
9.99,Nexo,774571714.0,1.38,560000011.0
1.63,PAX Gold,600574590.0,1826.43,328823.72
10.66,Kusama,660820182.0,78.02,8470098.06
18.83,Zilliqa,699185098.0,0.05473,12780000000.0
36.89,Loopring,665158501.0,0.5001,187078382.0
15.99,Basic Attention Token,615014000.0,0.4105,1500000000.0
15.42,Dash,645914752.0,60.24,10721623.88
21.24,Mina,587452987.0,1.18,499542220.84
15.41,XDC Network,564709937.0,0.04589,12310000000.0
15.21,Lido DAO,509548923.0,1.63,20978623.0
32.27,Enjin Coin,657489562.0,0.7408,887579955.57
15.02,Compound,510737466.0,71.82,80987675.0
21.75,Decred,512223659.0,36.55,14013269.39
39.97,Harmony,624878996.0,0.05181,12060000000.0
59.66,Gala,695837829.0,0.09973,6980000000.0
26.43,Amp,563265242.0,0.01334,42230000000.0
27.81,Arweave,503225808.0,15.07,33394701.0
0.74,Fei USD,423096841.0,0.9955,48301238.0
12.23,Qtum,423572268.0,4.07,104161512.5
26.68,Holo,515159202.0,0.002973,173310000000.0
0.52,yearn.finance,392557792.0,10714.58,157175387.0
13.24,GateToken,445163885.0,5.68,78330480.69
18.35,NEM,445356692.0,0.04948,9000000000.0
7.19,OMG Network,367154052.0,2.62,140245398.25
13.24,1inch Network,378433406.0,0.9118,415052082.65
8.02,Bancor,375695815.0,1.45,44667444.0
9.5,Symbol,393971121.0,0.07057,5580000000.0
