change,currency,market_cap,value,volume
3.91,Bitcoin,"$559,765,325,063","$29,400.44","19,039,350.00 BTC"
3.98,Ethereum,"$245,231,667,274","$2,030.57","120,769,906.75 ETH"
0.05,Tether,"$76,577,551,355",$0.9983,76.71B USDT
0.01,USD Coin,"$50,936,922,375",$1.00,50.92B USDC
4.77,BNB,"$47,415,822,036",$290.40,"163,276,974.63 BNB"
5.20,XRP,"$20,771,646,590",$0.4297,48.34B XRP
8.80,Cardano,"$17,986,752,366",$0.5331,33.74B ADA
0.23,Binance USD,"$17,625,379,774",$1.00,17.61B BUSD
1.37,Solana,"$17,517,876,513",$51.93,"337,322,265.18 SOL"
2.88,Dogecoin,"$11,956,436,601",$0.09012,132.67B DOGE
4.88,Polkadot,"$10,256,046,461",$10.39,"987,579,314.96 DOT"
8.59,Avalanche,"$8,604,750,876",$32.00,"268,936,192.56 AVAX"
3.95,Wrapped Bitcoin,"$8,382,530,268","$29,401.67","285,103.93 WBTC"
0.04,TRON,"$7,175,168,257",$0.07308,98.18B TRX
,Shiba Inu,"$6,892,694,788",,"549,063.28B SHIB"
0.17,Dai,"$6,412,918,390",$0.9997,6.42B DAI
5.38,Polygon,"$5,378,459,167",$0.6766,7.95B MATIC
0.96,UNUS SED LEO,"$4,816,672,671",$5.05,"953,954,130.00 LEO"
2.61,Litecoin,"$4,773,863,551",$67.93,"70,280,418.78 LTC"
5.72,Cronos,"$4,660,655,676",$0.1845,25.26B CRO
13.41,NEAR Protocol,"$4,404,026,060",$6.44,"683,664,295.00 NEAR"
1.87,FTX Token,"$4,240,754,122",$31.06,"136,538,847.82 FTT"
5.40,Bitcoin Cash,"$3,817,228,442",$200.25,"19,062,693.75 BCH"
5.98,Uniswap,"$3,498,398,016",$5.06,"$211,604,484"
0.31,Stellar,"$3,385,147,990",$0.1364,24.81B XLM
3.18,Chainlink,"$3,328,848,352",$7.13,"467,009,549.52 LINK"
6.11,Algorand,"$3,072,527,194",$0.4511,6.81B ALGO
4.18,Flow,"$3,054,888,443",$2.95,1.04B FLOW
4.58,Cosmos,"$2,987,921,677",$10.43,"286,370,297.00 ATOM"
1.90,Ethereum Classic,"$2,805,426,997",$20.82,"134,753,734.28 ETC"
