change,currency,market_cap,value,volume
9.01,ICON,"$337,208,458",$0.3667,"919,483,096.00 ICX"
13.67,Theta Fuel,"$370,062,860",$0.06981,5.30B TFUEL
12.39,0x,"$322,936,281",$0.381,"847,496,054.80 ZRX"
10.29,IOST,"$333,335,490",$0.01793,18.59B IOST
8.95,Bitcoin Gold,"$333,086,224",$19.02,"17,513,923.59 BTG"
2.86,yearn.finance,"$370,978,622","$10,125.59","$136,982,136"
6.64,Secret,"$313,001,663",$1.92,"$21,000,962"
10.50,Moonbeam,"$340,523,753",$1.25,"271,560,584.00 GLMR"
4.65,OMG Network,"$356,399,500",$2.54,"140,245,398.25 OMG"
,Dogelon Mars,"$307,285,612",,"552,015.17B ELON"
9.62,Livepeer,"$360,001,039",$15.13,"23,796,400.83 LPT"
37.34,Kyber Network Crystal v2,"$314,076,607",$1.77,"177,809,349.53 KNC"
17.71,BORA,"$307,222,726",$0.3567,"861,250,000.00 BORA"
12.06,Synthetix,"$306,440,980",$2.67,"114,841,533.01 SNX"
12.35,Serum,"$304,688,168",$1.16,"$66,448,204"
14.43,Audius,"$305,750,847",$0.4286,"713,381,683.00 AUDIO"
4.78,Ravencoin,"$288,213,247",$0.02752,10.47B RVN
7.65,JUST,"$302,954,962",$0.0415,7.30B JST
13.99,Horizen,"$260,292,867",$21.03,"12,379,350.00 ZEN"
21.24,IoTeX,"$289,207,336",$0.03031,9.54B IOTX
21.01,Ankr,"$301,053,754",$0.03688,"$52,755,700"
12.27,SKALE Network,"$298,195,353",$0.08515,3.50B SKL
0.69,USDD,"$271,902,120",$1.00,"271,438,207.61 USDD"
20.94,SwissBorg,"$299,482,498",$0.2995,1.00B CHSB
5.65,Bitcoin,"$567,983,757,483","$29,832.60","19,039,031.00 BTC"
8.36,Ambire AdEx,"$32,332,245",$0.2268,"142,557,523.66 ADX"
13.52,Oasis Network,"$257,292,445",$0.07366,3.49B ROSE
26.93,Golem,"$237,438,631",$0.2374,1.00B GLM
8.83,Siacoin,"$242,390,841",$0.004758,50.94B SC
7.10,Render Token,"$218,627,032",$0.8614,"253,798,859.70 RNDR"
10.51,Ontology,"$224,111,060",$0.2561,"875,249,524.00 ONT"
,APENFT,"$226,120,807",,"277,080.56B NFT"
9.41,Braintrust,"$224,197,925",$2.48,"90,400,861.00 BTRST"
19.19,WAX,"$231,478,322",$0.1166,1.99B WAXP
13.91,SXP,"$220,054,087",$0.4545,"$76,769,832"
16.96,Voyager Token,"$219,066,415",$0.7866,"278,482,214.19 VGX"
12.02,Rally,"$208,280,022",$0.07585,2.75B RLY
9.80,Immutable X,"$203,695,394",$0.8657,"235,284,001.00 IMX"
0.34,Gemini Dollar,"$215,627,824",$0.9991,"215,825,425.55 GUSD"
9.51,WOO Network,"$205,318,610",$0.1954,1.05B WOO
4.35,renBTC,"$204,675,854","$29,754.55","6,878.81 RENBTC"
7.98,Illuvium,"$201,034,490",$308.87,"650,861.12 ILV"
