"Theta Fuel
TFUEL",$0.07094,20.18%,"$376,088,410",5.30B TFUEL
"yearn.finance
YFI","$9,978.31",0.51%,"$365,582,531","$125,600,575"
"Livepeer
LPT",$15.11,5.18%,"$359,632,398","23,796,609.05 LPT"
"OMG Network
OMG",$2.53,7.80%,"$355,483,101","140,245,398.25 OMG"
"ICON
ICX",$0.3649,9.55%,"$335,497,827","919,483,096.00 ICX"
"IOST
IOST",$0.018,6.78%,"$334,591,080",18.59B IOST
"BORA
BORA",$0.3894,26.82%,"$335,407,030","861,250,000.00 BORA"
"Bitcoin Gold
BTG",$18.95,6.95%,"$331,880,476","17,513,923.59 BTG"
"Moonbeam
GLMR",$1.22,6.81%,"$331,919,046","271,587,675.00 GLMR"
"Serum
SRM",$1.22,17.63%,"$320,053,052","$67,961,612"
"SwissBorg
CHSB",$0.3052,12.26%,"$305,167,119",1.00B CHSB
"JUST
JST",$0.04198,14.48%,"$306,481,109",7.30B JST
"Secret
SCRT",$1.86,0.91%,"$303,338,501","$19,593,262"
"Theta Fuel
TFUEL",$0.07094,20.18%,"$376,088,410",5.30B TFUEL
"yearn.finance
YFI","$9,991.14",0.95%,"$366,052,452","$125,388,482"
"Livepeer
LPT",$15.11,5.18%,"$359,632,398","23,796,609.05 LPT"
"OMG Network
OMG",$2.55,7.94%,"$357,700,094","140,245,398.25 OMG"
"ICON
ICX",$0.3648,7.70%,"$335,461,527","919,483,096.00 ICX"
"IOST
IOST",$0.018,6.78%,"$334,591,080",18.59B IOST
"BORA
BORA",$0.388,27.12%,"$334,126,155","861,250,000.00 BORA"
"Bitcoin Gold
BTG",$18.95,6.95%,"$331,880,476","17,513,923.59 BTG"
"Moonbeam
GLMR",$1.22,6.90%,"$332,320,561","271,587,675.00 GLMR"
"Serum
SRM",$1.22,16.99%,"$320,267,499","$67,797,277"
"JUST
JST",$0.04177,14.44%,"$304,926,393",7.30B JST
"SwissBorg
CHSB",$0.3046,9.81%,"$304,631,785",1.00B CHSB
"Secret
SCRT",$1.85,2.17%,"$302,695,467","$19,515,032"
"Audius
AUDIO",$0.4189,9.22%,"$298,842,699","713,381,683.00 AUDIO"
"Ravencoin
RVN",$0.02809,10.10%,"$294,196,009",10.47B RVN
"SKALE Network
SKL",$0.08413,9.73%,"$294,607,315",3.50B SKL
"Ankr
ANKR",$0.03593,12.13%,"$293,331,311","$49,692,410"
"IoTeX
IOTX",$0.03037,17.23%,"$289,793,737",9.54B IOTX
"Gemini Dollar
GUSD",$0.9981,0.23%,"$276,588,925","277,113,552.96 GUSD"
"USDD
USDD",$1.00,0.51%,"$271,620,054","271,438,207.61 USDD"
"Horizen
ZEN",$21.07,10.90%,"$260,819,858","12,380,275.00 ZEN"
"Oasis Network
ROSE",$0.07134,7.82%,"$249,188,714",3.49B ROSE
"Siacoin
SC",$0.00484,11.14%,"$246,555,866",50.94B SC
"Braintrust
BTRST",$2.69,21.13%,"$243,152,859","90,400,861.00 BTRST"
"WAX
WAXP",$0.1186,23.77%,"$235,437,686",1.99B WAXP
"Ontology
ONT",$0.2625,13.43%,"$229,766,359","875,249,524.00 ONT"
"Render Token
RNDR",$0.8736,6.15%,"$221,707,796","253,798,859.70 RNDR"
"Voyager Token
VGX",$0.792,25.03%,"$220,570,398","278,482,214.19 VGX"
"SXP
SXP",$0.4527,13.95%,"$219,193,236","$70,943,199"
"MXC
MXC",$0.08144,14.38%,"$215,166,794",2.64B MXC
"Hive
HIVE",$0.4928,20.95%,"$213,664,574","433,534,630.14 HIVE"
